Description,Acronym,Length,ID,die
"NM_001278267.1 Homo sapiens NBPF member 20 (NBPF20), mRNA",NBPF20,18450,NM_001278267.1,no
"NM_031935.3 Homo sapiens hemicentin 1 (HMCN1), mRNA",HMCN1,18368,NM_031935.3,no
"NM_138420.4 Homo sapiens AHNAK nucleoprotein 2 (AHNAK2), transcript variant 1, mRNA",AHNAK2,18335,NM_138420.4,no
"NM_001326297.2 Homo sapiens zinc finger CCCH-type containing 14 (ZC3H14), transcript variant 9, mRNA",ZC3H14,18334,NM_001326297.2,no
"NM_181489.6 Homo sapiens zinc finger protein 445 (ZNF445), transcript variant 1, mRNA",ZNF445,18314,NM_181489.6,no
"NM_001162501.2 Homo sapiens trinucleotide repeat containing adaptor 6B (TNRC6B), transcript variant 1, mRNA",TNRC6B,18280,NM_001162501.2,no
"NM_001330177.2 Homo sapiens pecanex 4 (PCNX4), transcript variant 1, mRNA",PCNX4,18069,NM_001330177.2,no
"NM_002458.3 Homo sapiens mucin 5B, oligomeric mucus/gel-forming (MUC5B), mRNA",MUC5B,17911,NM_002458.3,no
"NM_001330513.2 Homo sapiens zinc finger protein 26 (ZNF26), transcript variant 4, mRNA",ZNF26,17900,NM_001330513.2,no
"NR_149143.3 Homo sapiens solute carrier family 35 member E3 (SLC35E3), transcript variant 4, non-coding RNA",SLC35E3,17781,NR_149143.3,no
"NM_173598.6 Homo sapiens kinase suppressor of ras 2 (KSR2), mRNA",KSR2,17775,NM_173598.6,no
"NM_033656.4 Homo sapiens bromodomain and WD repeat domain containing 1 (BRWD1), transcript variant 2, mRNA",BRWD1,17728,NM_033656.4,no
"NM_012090.5 Homo sapiens microtubule actin crosslinking factor 1 (MACF1), mRNA",MACF1,17701,NM_012090.5,no
"NM_178009.5 Homo sapiens diacylglycerol kinase eta (DGKH), transcript variant 2, mRNA",DGKH,17497,NM_178009.5,no
"NM_001304359.2 Homo sapiens mucin 5AC, oligomeric mucus/gel-forming (MUC5AC), mRNA",MUC5AC,17448,NM_001304359.2,no
"NM_001377429.1 Homo sapiens HemK methyltransferase family member 1 (HEMK1), transcript variant 12, mRNA",HEMK1,17268,NM_001377429.1,no
"NM_152701.5 Homo sapiens ATP binding cassette subfamily A member 13 (ABCA13), mRNA",ABCA13,17188,NM_152701.5,no
"NM_001277285.4 Homo sapiens immunoglobulin superfamily member 9B (IGSF9B), mRNA",IGSF9B,17159,NM_001277285.4,no
"NM_001291303.3 Homo sapiens FAT atypical cadherin 4 (FAT4), transcript variant 1, mRNA",FAT4,17151,NM_001291303.3,no
"NM_033119.5 Homo sapiens NKD inhibitor of WNT signaling pathway 1 (NKD1), mRNA",NKD1,17039,NM_033119.5,no
"NM_001347721.2 Homo sapiens dual specificity tyrosine phosphorylation regulated kinase 1A (DYRK1A), transcript variant 6, mRNA",DYRK1A,17024,NM_001347721.2,no
"NM_020987.5 Homo sapiens ankyrin 3 (ANK3), transcript variant 1, mRNA",ANK3,17019,NM_020987.5,no
"NM_003024.3 Homo sapiens intersectin 1 (ITSN1), transcript variant 1, mRNA",ITSN1,16972,NM_003024.3,no
"NM_024813.3 Homo sapiens RNA polymerase II associated protein 2 (RPAP2), mRNA",RPAP2,16899,NM_024813.3,no
"NM_170606.3 Homo sapiens lysine methyltransferase 2C (KMT2C), mRNA",KMT2C,16860,NM_170606.3,no
"NM_014932.5 Homo sapiens neuroligin 1 (NLGN1), transcript variant 7, mRNA",NLGN1,16674,NM_014932.5,no
"NM_001197104.2 Homo sapiens lysine methyltransferase 2A (KMT2A), transcript variant 1, mRNA",KMT2A,16600,NM_001197104.2,no
"NM_001035.3 Homo sapiens ryanodine receptor 2 (RYR2), mRNA",RYR2,16583,NM_001035.3,no
"NM_001144995.2 Homo sapiens coiled-coil domain containing 85C (CCDC85C), mRNA",CCDC85C,16564,NM_001144995.2,no
"NM_001351165.2 Homo sapiens ubiquitin specific peptidase 15 (USP15), transcript variant 10, mRNA",USP15,16503,NM_001351165.2,no
"NM_004852.3 Homo sapiens one cut homeobox 2 (ONECUT2), mRNA",ONECUT2,16433,NM_004852.3,no
"NM_001205293.3 Homo sapiens calcium voltage-gated channel subunit alpha1 E (CACNA1E), transcript variant 1, mRNA",CACNA1E,16420,NM_001205293.3,no
"NM_003890.2 Homo sapiens Fc fragment of IgG binding protein (FCGBP), mRNA",FCGBP,16407,NM_003890.2,no
"NM_015378.4 Homo sapiens vacuolar protein sorting 13 homolog D (VPS13D), transcript variant 1, mRNA",VPS13D,16357,NM_015378.4,no
"NM_001378026.1 Homo sapiens neurobeachin like 1 (NBEAL1), transcript variant 2, mRNA",NBEAL1,16349,NM_001378026.1,no
"NM_001164462.1 Homo sapiens mucin 12, cell surface associated (MUC12), mRNA",MUC12,16321,NM_001164462.1,no
"NM_206855.3 Homo sapiens QKI, KH domain containing RNA binding (QKI), transcript variant 4, mRNA",QKI,16283,NM_206855.3,no
"NM_138694.4 Homo sapiens PKHD1 ciliary IPT domain containing fibrocystin/polyductin (PKHD1), transcript variant 1, mRNA",PKHD1,16271,NM_138694.4,no
"NM_001080448.3 Homo sapiens EPH receptor A6 (EPHA6), transcript variant 1, mRNA",EPHA6,16254,NM_001080448.3,no
"NM_001256424.2 Homo sapiens guanylate cyclase 1 soluble subunit alpha 2 (GUCY1A2), transcript variant 1, mRNA",GUCY1A2,16243,NM_001256424.2,no
"NM_001351267.3 Homo sapiens tetraspanin 14 (TSPAN14), transcript variant 4, mRNA",TSPAN14,16221,NM_001351267.3,no
"NM_001130072.2 Homo sapiens epsin 1 (EPN1), transcript variant 2, mRNA",EPN1,16219,NM_001130072.2,no
"NM_207361.6 Homo sapiens FRAS1 related extracellular matrix 2 (FREM2), mRNA",FREM2,16122,NM_207361.6,no
"NM_015092.5 Homo sapiens SMG1 nonsense mediated mRNA decay associated PI3K related kinase (SMG1), mRNA",SMG1,16062,NM_015092.5,no
"NM_002457.4 Homo sapiens mucin 2, oligomeric mucus/gel-forming (MUC2), mRNA",MUC2,16050,NM_002457.4,no
"NM_031308.4 Homo sapiens epiplakin 1 (EPPK1), mRNA",EPPK1,16005,NM_031308.4,no
"NM_001346516.2 Homo sapiens ligand dependent nuclear receptor corepressor (LCOR), transcript variant 4, mRNA",LCOR,16001,NM_001346516.2,no
"NM_001326578.2 Homo sapiens syntaxin 7 (STX7), transcript variant 1, mRNA",STX7,15992,NM_001326578.2,no
"NM_018641.5 Homo sapiens carbohydrate sulfotransferase 12 (CHST12), transcript variant 3, mRNA",CHST12,15985,NM_018641.5,no
"NM_001024660.4 Homo sapiens kalirin RhoGEF kinase (KALRN), transcript variant 1, mRNA",KALRN,15982,NM_001024660.4,no
"NM_003458.4 Homo sapiens bassoon presynaptic cytomatrix protein (BSN), mRNA",BSN,15971,NM_003458.4,no
"NM_020765.3 Homo sapiens ubiquitin protein ligase E3 component n-recognin 4 (UBR4), mRNA",UBR4,15892,NM_020765.3,no
"NM_025074.7 Homo sapiens Fraser extracellular matrix complex subunit 1 (FRAS1), transcript variant 1, mRNA",FRAS1,15871,NM_025074.7,no
"NM_017649.5 Homo sapiens cyclin and CBS domain divalent metal cation transport mediator 2 (CNNM2), transcript variant 1, mRNA",CNNM2,15857,NM_017649.5,no
"NM_018557.3 Homo sapiens LDL receptor related protein 1B (LRP1B), mRNA",LRP1B,15850,NM_018557.3,no
"NM_001145287.2 Homo sapiens opioid receptor mu 1 (OPRM1), transcript variant MOR-1K1, mRNA",OPRM1,15844,NM_001145287.2,no
"NM_006885.4 Homo sapiens zinc finger homeobox 3 (ZFHX3), transcript variant A, mRNA",ZFHX3,15817,NM_006885.4,no
"NM_001291815.2 Homo sapiens hemicentin 2 (HMCN2), mRNA",HMCN2,15789,NM_001291815.2,no
"NM_001109662.4 Homo sapiens HECT domain E3 ubiquitin protein ligase 4 (HECTD4), mRNA",HECTD4,15782,NM_001109662.4,no
"NM_016252.3 Homo sapiens baculoviral IAP repeat containing 6 (BIRC6), transcript variant 1, mRNA",BIRC6,15718,NM_016252.3,no
"NR_163594.1 Homo sapiens SCO-spondin, pseudogene (SSPOP), non-coding RNA",SSPOP,15690,NR_163594.1,no
"NM_024652.6 Homo sapiens leucine rich repeat kinase 1 (LRRK1), mRNA",LRRK1,15674,NM_024652.6,no
"NR_038161.2 Homo sapiens mitochondrial ribosomal protein L42 (MRPL42), transcript variant 5, non-coding RNA",MRPL42,15662,NR_038161.2,no
"NM_004525.3 Homo sapiens LDL receptor related protein 2 (LRP2), mRNA",LRP2,15657,NM_004525.3,no
"NM_020759.3 Homo sapiens StAR related lipid transfer domain containing 9 (STARD9), mRNA",STARD9,15637,NM_020759.3,no
"NM_014363.6 Homo sapiens sacsin molecular chaperone (SACS), transcript variant 1, mRNA",SACS,15635,NM_014363.6,no
"NM_015312.3 Homo sapiens KIAA1109 (KIAA1109), mRNA",KIAA1109,15592,NM_015312.3,no
"NM_178509.6 Homo sapiens syntaxin binding protein 4 (STXBP4), mRNA",STXBP4,15590,NM_178509.6,no
"NM_001369.2 Homo sapiens dynein axonemal heavy chain 5 (DNAH5), mRNA",DNAH5,15588,NM_001369.2,no
"NM_001243996.3 Homo sapiens ryanodine receptor 3 (RYR3), transcript variant 2, mRNA",RYR3,15572,NM_001243996.3,no
"NR_147038.2 Homo sapiens killer cell lectin like receptor D1 (KLRD1), transcript variant 7, non-coding RNA",KLRD1,15567,NR_147038.2,no
"NM_138435.4 Homo sapiens family with sequence similarity 83 member F (FAM83F), mRNA",FAM83F,15561,NM_138435.4,no
"NM_014999.4 Homo sapiens RAB21, member RAS oncogene family (RAB21), mRNA",RAB21,15558,NM_014999.4,no
"NM_018077.3 Homo sapiens RNA binding motif protein 28 (RBM28), transcript variant 1, mRNA",RBM28,15507,NM_018077.3,no
"NM_001281471.3 Homo sapiens diphosphoinositol pentakisphosphate kinase 2 (PPIP5K2), transcript variant 4, mRNA",PPIP5K2,15474,NM_001281471.3,no
"NM_001039938.2 Homo sapiens integrator complex subunit 6 (INTS6), transcript variant 3, mRNA",INTS6,15451,NM_001039938.2,no
"NM_007186.6 Homo sapiens centrosomal protein 250 (CEP250), transcript variant 1, mRNA",CEP250,15434,NM_007186.6,no
"NM_001331029.2 Homo sapiens protein phosphatase 1 regulatory subunit 12B (PPP1R12B), transcript variant 8, mRNA",PPP1R12B,15427,NM_001331029.2,no
"NM_001364716.4 Homo sapiens myosin phosphatase Rho interacting protein (MPRIP), transcript variant 3, mRNA",MPRIP,15419,NM_001364716.4,no
"NM_001128933.3 Homo sapiens synaptopodin 2 (SYNPO2), transcript variant 2, mRNA",SYNPO2,15417,NM_001128933.3,no
"NM_000540.3 Homo sapiens ryanodine receptor 1 (RYR1), transcript variant 1, mRNA",RYR1,15400,NM_000540.3,no
"NM_004667.6 Homo sapiens HECT and RLD domain containing E3 ubiquitin protein ligase 2 (HERC2), mRNA",HERC2,15364,NM_004667.6,no
"NM_022740.5 Homo sapiens homeodomain interacting protein kinase 2 (HIPK2), transcript variant 1, mRNA",HIPK2,15329,NM_022740.5,no
"NM_201380.4 Homo sapiens plectin (PLEC), transcript variant 6, mRNA",PLEC,15299,NM_201380.4,no
"NM_001199241.2 Homo sapiens kynureninase (KYNU), transcript variant 3, mRNA",KYNU,15237,NM_001199241.2,no
"NM_033305.3 Homo sapiens vacuolar protein sorting 13 homolog A (VPS13A), transcript variant A, mRNA",VPS13A,15227,NM_033305.3,no
"NM_003922.4 Homo sapiens HECT and RLD domain containing E3 ubiquitin protein ligase family member 1 (HERC1), mRNA",HERC1,15197,NM_003922.4,no
"NM_022041.4 Homo sapiens gigaxonin (GAN), transcript variant 1, mRNA",GAN,15159,NM_022041.4,no
"NM_001371783.1 Homo sapiens LON peptidase N-terminal domain and ring finger 2 (LONRF2), transcript variant 2, mRNA",LONRF2,15138,NM_001371783.1,no
"NM_001367783.1 Homo sapiens zinc finger protein 704 (ZNF704), transcript variant 2, mRNA",ZNF704,15100,NM_001367783.1,no
"NM_015057.5 Homo sapiens MYC binding protein 2 (MYCBP2), mRNA",MYCBP2,15077,NM_015057.5,no
"NM_004274.5 Homo sapiens A-kinase anchoring protein 6 (AKAP6), mRNA",AKAP6,14984,NM_004274.5,no
"NM_001177665.2 Homo sapiens replication timing regulatory factor 1 (RIF1), transcript variant 4, mRNA",RIF1,14964,NM_001177665.2,no
"NM_002332.3 Homo sapiens LDL receptor related protein 1 (LRP1), mRNA",LRP1,14923,NM_002332.3,no
"NM_144666.3 Homo sapiens dynein heavy chain domain 1 (DNHD1), transcript variant 1, mRNA",DNHD1,14876,NM_144666.3,no
"NM_020340.5 Homo sapiens ARFGEF family member 3 (ARFGEF3), mRNA",ARFGEF3,14859,NM_020340.5,no
"NM_001377231.1 Homo sapiens pleckstrin homology domain containing A1 (PLEKHA1), transcript variant 6, mRNA",PLEKHA1,14812,NM_001377231.1,no
"NM_005245.4 Homo sapiens FAT atypical cadherin 1 (FAT1), mRNA",FAT1,14776,NM_005245.4,no
"NM_031407.7 Homo sapiens HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1 (HUWE1), mRNA",HUWE1,14731,NM_031407.7,no
"NM_001134407.3 Homo sapiens glutamate ionotropic receptor NMDA type subunit 2A (GRIN2A), transcript variant 1, mRNA",GRIN2A,14706,NM_001134407.3,no
"NM_133464.5 Homo sapiens zinc finger protein 483 (ZNF483), transcript variant 1, mRNA",ZNF483,14694,NM_133464.5,no
"NM_173569.4 Homo sapiens ubinuclein 2 (UBN2), mRNA",UBN2,14692,NM_173569.4,no
"NM_001042590.4 Homo sapiens transmembrane protein 8B (TMEM8B), transcript variant 1, mRNA",TMEM8B,14670,NM_001042590.4,no
"NM_001206927.2 Homo sapiens dynein axonemal heavy chain 8 (DNAH8), transcript variant 1, mRNA",DNAH8,14663,NM_001206927.2,no
"NM_001368719.1 Homo sapiens gremlin 1, DAN family BMP antagonist (GREM1), transcript variant 4, mRNA",GREM1,14636,NM_001368719.1,no
"NM_003879.7 Homo sapiens CASP8 and FADD like apoptosis regulator (CFLAR), transcript variant 1, mRNA",CFLAR,14612,NM_003879.7,no
"NM_001018088.2 Homo sapiens vacuolar protein sorting 13 homolog C (VPS13C), transcript variant 2B, mRNA",VPS13C,14607,NM_001018088.2,no
"NM_001371189.1 Homo sapiens unc-13 homolog B (UNC13B), transcript variant 6, mRNA",UNC13B,14603,NM_001371189.1,no
"NM_012154.5 Homo sapiens argonaute RISC catalytic component 2 (AGO2), transcript variant 1, mRNA",AGO2,14595,NM_012154.5,no
"NM_001323289.2 Homo sapiens cyclin dependent kinase like 5 (CDKL5), transcript variant III, mRNA",CDKL5,14572,NM_001323289.2,no
"NM_001447.2 Homo sapiens FAT atypical cadherin 2 (FAT2), mRNA",FAT2,14565,NM_001447.2,no
"NM_014991.6 Homo sapiens WD repeat and FYVE domain containing 3 (WDFY3), mRNA",WDFY3,14559,NM_014991.6,no
"NM_020877.4 Homo sapiens dynein axonemal heavy chain 2 (DNAH2), transcript variant 1, mRNA",DNAH2,14532,NM_020877.4,no
"NM_033225.6 Homo sapiens CUB and Sushi multiple domains 1 (CSMD1), mRNA",CSMD1,14417,NM_033225.6,no
"NM_001367661.1 Homo sapiens synaptotagmin 16 (SYT16), transcript variant 7, mRNA",SYT16,14386,NM_001367661.1,no
"NM_001098816.3 Homo sapiens teneurin transmembrane protein 4 (TENM4), mRNA",TENM4,14381,NM_001098816.3,no
"NM_007366.5 Homo sapiens phospholipase A2 receptor 1 (PLA2R1), transcript variant 1, mRNA",PLA2R1,14376,NM_007366.5,no
"NM_001040105.2 Homo sapiens mucin 17, cell surface associated (MUC17), transcript variant 1, mRNA",MUC17,14352,NM_001040105.2,no
"NM_032410.4 Homo sapiens hook microtubule tethering protein 3 (HOOK3), mRNA",HOOK3,14348,NM_032410.4,no
"NM_001291860.2 Homo sapiens heparan sulfate proteoglycan 2 (HSPG2), transcript variant 1, mRNA",HSPG2,14344,NM_001291860.2,no
"NM_001277115.2 Homo sapiens dynein axonemal heavy chain 11 (DNAH11), mRNA",DNAH11,14343,NM_001277115.2,no
"NM_001365848.1 Homo sapiens POU class 2 homeobox 1 (POU2F1), transcript variant 5, mRNA",POU2F1,14342,NM_001365848.1,no
"NM_012243.3 Homo sapiens solute carrier family 35 member A3 (SLC35A3), transcript variant 1, mRNA",SLC35A3,14321,NM_012243.3,no
"NM_001286403.2 Homo sapiens class II major histocompatibility complex transactivator (CIITA), transcript variant 3, mRNA",CIITA,14309,NM_001286403.2,no
"NM_001320831.2 Homo sapiens SGT1 homolog, MIS12 kinetochore complex assembly cochaperone (SUGT1), transcript variant 3, mRNA",SUGT1,14289,NM_001320831.2,no
"NM_153712.5 Homo sapiens tubulin tyrosine ligase (TTL), transcript variant 1, mRNA",TTL,14267,NM_153712.5,no
"NM_001258282.3 Homo sapiens leucine rich repeat and Ig domain containing 2 (LINGO2), transcript variant 2, mRNA",LINGO2,14226,NM_001258282.3,no
"NM_080627.4 Homo sapiens suppressor of glucose, autophagy associated 1 (SOGA1), transcript variant 1, mRNA",SOGA1,14218,NM_080627.4,no
"NM_001148.6 Homo sapiens ankyrin 2 (ANK2), transcript variant 1, mRNA",ANK2,14215,NM_001148.6,no
"NM_022131.3 Homo sapiens calsyntenin 2 (CLSTN2), mRNA",CLSTN2,14202,NM_022131.3,no
"NM_001322819.2 Homo sapiens superoxide dismutase 2 (SOD2), transcript variant 8, mRNA",SOD2,14189,NM_001322819.2,no
"NM_003162.4 Homo sapiens striatin (STRN), mRNA",STRN,14174,NM_003162.4,no
"NM_001009944.3 Homo sapiens polycystin 1, transient receptor potential channel interacting (PKD1), transcript variant 1, mRNA",PKD1,14140,NM_001009944.3,no
"NM_001365999.1 Homo sapiens SZT2 subunit of KICSTOR complex (SZT2), transcript variant 1, mRNA",SZT2,14136,NM_001365999.1,no
"NM_001278549.2 Homo sapiens pyruvate dehydrogenase kinase 1 (PDK1), transcript variant 1, mRNA",PDK1,14132,NM_001278549.2,no
"NM_017759.5 Homo sapiens INO80 complex subunit D (INO80D), mRNA",INO80D,14128,NM_017759.5,no
"NM_000384.3 Homo sapiens apolipoprotein B (APOB), mRNA",APOB,14121,NM_000384.3,no
"NM_017890.4 Homo sapiens vacuolar protein sorting 13 homolog B (VPS13B), transcript variant 5, mRNA",VPS13B,14100,NM_017890.4,no
"NM_004010.3 Homo sapiens dystrophin (DMD), transcript variant Dp427p2, mRNA",DMD,14083,NM_004010.3,no
"NM_001367479.1 Homo sapiens dynein axonemal heavy chain 14 (DNAH14), transcript variant 7, mRNA",DNAH14,14065,NM_001367479.1,no
"NM_000876.4 Homo sapiens insulin like growth factor 2 receptor (IGF2R), mRNA",IGF2R,14061,NM_000876.4,no
"NM_001372106.1 Homo sapiens dynein axonemal heavy chain 10 (DNAH10), transcript variant 3, mRNA",DNAH10,14039,NM_001372106.1,no
"NM_198281.3 Homo sapiens GPRIN family member 3 (GPRIN3), mRNA",GPRIN3,14037,NM_198281.3,no
"NM_017926.4 Homo sapiens G-patch domain containing 2 like (GPATCH2L), transcript variant 1, mRNA",GPATCH2L,14021,NM_017926.4,no
"NM_001098615.2 Homo sapiens pseudouridine synthase 7 like (PUS7L), transcript variant 1, mRNA",PUS7L,14011,NM_001098615.2,no
"NM_017970.4 Homo sapiens NRDE-2, necessary for RNA interference, domain containing (NRDE2), mRNA",NRDE2,14008,NM_017970.4,no
"NM_001307986.2 Homo sapiens ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5 (ST8SIA5), transcript variant 1, mRNA",ST8SIA5,14005,NM_001307986.2,no
"NM_024721.5 Homo sapiens zinc finger homeobox 4 (ZFHX4), mRNA",ZFHX4,13987,NM_024721.5,no
"NM_001319127.2 Homo sapiens zinc finger protein 431 (ZNF431), transcript variant 4, mRNA",ZNF431,13974,NM_001319127.2,no
"NM_007045.4 Homo sapiens centrosomal protein 43 (CEP43), transcript variant 1, mRNA",CEP43,13956,NM_007045.4,no
"NM_001301365.1 Homo sapiens lysosomal trafficking regulator (LYST), transcript variant 3, mRNA",LYST,13934,NM_001301365.1,no
"NM_001371986.1 Homo sapiens unc-80 homolog, NALCN channel complex subunit (UNC80), transcript variant 3, mRNA",UNC80,13917,NM_001371986.1,no
