Supplementary Table 3: Information of Sequences Used to Test the Model's Ability to Generalize,,,,,,,,
,ID,Organism Name,MolTyp,Topology,Description,Genome Type,Length,Family
23,MK424788.1,Canine circovirus,DNA,linear,"Canine circovirus isolate CanineCV D1056, complete genome",ssDNA(+/-),2063,Circoviridae
24,MN075128.1,Porcine circovirus 3,DNA,circular,"Porcine circovirus 3 isolate FJ1, complete genome",ssDNA(+/-),2000,Circoviridae
25,MK341738.1,Chickpea chlorotic dwarf virus,DNA,circular,"Chickpea chlorotic dwarf virus strain F isolate IR:Kas:Fab70:16, complete genome",ssDNA(+/-),2572,Geminiviridae
26,LC433846.1,Bovine leukemia virus,DNA,linear,"Bovine leukemia virus BLV_BL2M3 proviral DNA, complete genome",ssRNA-RT,7071,Retroviridae
27,LC519787.1,HBV genotype D,DNA,circular,"HBV genotype D B-061-Ban DNA, complete genome",dsDNA-RT,3116,Hepadnaviridae
28,LC519788.1,HBV genotype A,DNA,circular,"HBV genotype A B-065-Ban DNA, complete genome",dsDNA-RT,3221,Hepadnaviridae
29,LC519790.1,HBV genotype C,DNA,circular,"HBV genotype C B-092-Ban DNA, complete genome",dsDNA-RT,3200,Hepadnaviridae
30,MN594280.1,Wheat dwarf virus,DNA,circular,"Wheat dwarf virus strain WDV isolate b1, complete genome",ssDNA(+/-),2761,Geminiviridae
31,JF304937.1,Torque teno felis virus-Fc-TTV1,DNA,circular,"Torque teno felis virus-Fc-TTV1 isolate VS4300006, complete genome",ssDNA(-),2039,Anelloviridae
32,JF304938.1,Torque teno felis virus-Fc-TTV2,DNA,circular,"Torque teno felis virus-Fc-TTV2 isolate VS4300008, complete genome",ssDNA(-),2012,Anelloviridae
33,MK452766.1,Torque teno virus,DNA,circular,"Torque teno virus isolate M265, complete genome",ssDNA(-),3817,Anelloviridae
34,LC484862.1,Human T-cell leukemia virus type I,DNA,linear,"Human T-cell leukemia virus type I ED proviral DNA, complete genome",ssRNA-RT,9037,Retroviridae
35,MK951779.1,Avian leukosis virus,RNA,linear,"Avian leukosis virus isolate S0322B, complete genome",ssRNA-RT,7524,Retroviridae
36,LC511686.1,Human papillomavirus type 66,DNA,circular,"Human papillomavirus type 66 TK130 DNA, complete genome",dsDNA,7818,Papillomaviridae
37,LC511105.1,Human papillomavirus type 16,DNA,circular,"Human papillomavirus type 16 SW061 genomic DNA, complete genome",dsDNA,7688,Papillomaviridae
38,LC510606.1,Bovine foamy virus,DNA,linear,"Bovine foamy virus strain Ibaraki proviral DNA, complete genome",ssRNA-RT,12001,Retroviridae
39,MN127776.1,Feline bocavirus,DNA,linear,"Feline bocavirus isolate 18R217C/THA/2018, complete genome",ssDNA(+/-),5106,Parvoviridae
40,MK825573.1,Porcine parvovirus 6,DNA,linear,"UNVERIFIED: Porcine parvovirus 6 isolate AH, complete genome",ssDNA(+/-),6180,Parvoviridae
41,KR492908.1,Fenneropenaeus chinensis hepandensovirus,DNA,linear,"Fenneropenaeus chinensis hepandensovirus isolate egdb5, complete genome",ssDNA(+/-),6085,Parvoviridae
42,KR492910.1,Penaeus monodon hepandensovirus 1,DNA,linear,"Penaeus monodon hepandensovirus 1 isolate egdb7, complete genome",ssDNA(+/-),6321,Parvoviridae
43,KT316249.1,Decapod penstyldensovirus 1,DNA,linear,"Decapod penstyldensovirus 1 isolate Bardawil4, complete genome",ssDNA(+/-),3530,Parvoviridae
44,MK802081.1,Sweet potato symptomless virus 1,ss-DNA,circular,"Sweet potato symptomless virus 1 isolate lu-17-14, complete genome",ssDNA(+/-),2602,Geminiviridae
45,MG365906.1,Ungulate tetraparvovirus 4,DNA,linear,"Ungulate tetraparvovirus 4 strain CHN/GS/O-PARV-1, complete genome",ssDNA(+/-),5059,Parvoviridae
46,MG365914.1,Ungulate tetraparvovirus 2,DNA,linear,"Ungulate tetraparvovirus 2 strain CHN/GS/2016/1, complete genome",ssDNA(+/-),4951,Parvoviridae
47,MK803280.1,Beet curly top virus,DNA,linear,"Beet curly top virus isolate BCTV-Can, complete genome",ssDNA(+/-),2931,Geminiviridae
48,MN535988.1,Maize striate mosaic virus,DNA,linear,"Maize striate mosaic virus isolate DF EEB JB-LVV-05, complete genome",ssDNA(+/-),2746,Geminiviridae
49,NC_019850.1,Piliocolobus rufomitratus polyomavirus 1,DNA,circular,"Piliocolobus rufomitratus polyomavirus 1 isolate 4601, complete genome",dsDNA,5140,Polyomaviridae
50,NC_019855.1,Pan troglodytes polyomavirus 4,DNA,circular,"Pan troglodytes polyomavirus 4 isolate 3161, complete genome",dsDNA,5333,Polyomaviridae
51,NC_019856.1,Pan troglodytes polyomavirus 5,DNA,circular,"Pan troglodytes polyomavirus 5 isolate 3147, complete genome",dsDNA,5349,Polyomaviridae
52,NC_019857.1,Pan troglodytes polyomavirus 6,DNA,circular,"Pan troglodytes polyomavirus 6 isolate 5743, complete genome",dsDNA,4994,Polyomaviridae
53,NC_019858.1,Pan troglodytes polyomavirus 7,DNA,circular,"Pan troglodytes polyomavirus 7 isolate 6350, complete genome",dsDNA,4970,Polyomaviridae
54,NC_025892.1,Cercopithecus erythrotis polyomavirus 1,DNA,circular,"Cercopithecus erythrotis polyomavirus 1 isolate 4077, complete genome",dsDNA,5189,Polyomaviridae
55,MK690474.1,Grapevine geminivirus A,DNA,circular,"Grapevine geminivirus A isolate VID280, complete genome",ssDNA(+/-),2905,Geminiviridae
56,MK902920.1,Domestic cat hepadnavirus,DNA,circular,"Domestic cat hepadnavirus isolate UPM_CHV04, complete genome",dsDNA-RT,3184,Hepadnaviridae
57,KR065723.1,Rattus norvegicus polyomavirus 1,DNA,circular,"Rattus norvegicus polyomavirus 1 isolate 3671, complete genome",dsDNA,5318,Polyomaviridae
58,KU865500.1,Pan troglodytes verus polyomavirus 8,DNA,circular,"Pan troglodytes verus polyomavirus 8 isolate PtrovPyV8 #4699, complete genome",dsDNA,5164,Polyomaviridae
59,MG701354.1,Panthera leo polyomavirus 1,DNA,circular,"Panthera leo polyomavirus 1 isolate 3887, complete genome",dsDNA,5018,Polyomaviridae
60,MN164462.1,Equus caballus papillomavirus 1,DNA,linear,"Equus caballus papillomavirus 1 isolate G2, complete genome",dsDNA,7611,Papillomaviridae
61,MK993540.1,Porcine parvovirus,DNA,linear,"Porcine parvovirus isolate China-XY, complete genome",ssDNA(+/-),5074,Parvoviridae
62,LC385828.1,Bat mastadenovirus A,DNA,linear,"Bat mastadenovirus A Mm32 DNA, complete genome",dsDNA,31750,Adenoviridae
63,LC333380.1,Deltapapillomavirus 4,DNA,circular,"Deltapapillomavirus 4 1347768929 DNA, complete genome",dsDNA,7947,Papillomaviridae
64,LC363559.1,Canis familiaris papillomavirus 2,DNA,circular,"Canis familiaris papillomavirus 2 C170322 DNA, complete genome",dsDNA,8102,Papillomaviridae
65,MK671304.1,Carnivore bocaparvovirus 6,DNA,linear,"Carnivore bocaparvovirus 6 isolate CBV6/18CC0716, complete genome",ssDNA(+/-),5330,Parvoviridae
66,NC_044936.1,Tree shrew adenovirus 1,DNA,linear,"Tree shrew adenovirus 1, complete genome",dsDNA,33501,Adenoviridae
67,MH633409.1,Feline foamy virus,DNA,linear,"Feline foamy virus isolate X132, complete genome",ssRNA-RT,11680,Retroviridae
68,MK613869.1,Camellia chlorotic dwarf-associated virus,DNA,circular,"Camellia chlorotic dwarf-associated virus isolate Hangzhou1 clone HZ1, complete genome",ssDNA(+/-),3696,Geminiviridae
69,MK559457.1,Enzootic nasal tumour virus of goats,RNA,linear,"Enzootic nasal tumour virus of goats isolate ENTV-2FJ, complete genome",ssRNA-RT,7469,Retroviridae
70,LC500247.1,HBV genotype B,DNA,circular,"HBV genotype B BRJT2019-1 DNA, complete genome",dsDNA-RT,3215,Hepadnaviridae
71,MK530648.1,Rodent protoparvovirus 1,DNA,linear,"Rodent protoparvovirus 1 isolate LG/HN/CHN/2016, complete genome",ssDNA(+/-),4691,Parvoviridae
72,NC_040317.1,Gopherus associated genomovirus 1,ss-DNA,circular,"Gopherus associated genomovirus 1 isolate Tor2_591165, complete genome",ssDNA,2213,Genomoviridae
73,NC_040327.1,Alces alces faeces associated circular virus MP65,DNA,circular,"Alces alces faeces associated circular virus MP65, complete genome",ssDNA,2826,Genomoviridae
74,NC_040328.1,Alces alces faeces associated microvirus MP12 5423,DNA,circular,"Alces alces faeces associated microvirus MP12 5423, complete genome",ssDNA(+),5360,Microviridae
75,NC_040329.1,Lynx canadensis associated microvirus CLP 9413,DNA,circular,"Lynx canadensis associated microvirus CLP 9413, complete genome",ssDNA(+),5312,Microviridae
76,NC_040330.1,Termite associated circular virus 2,DNA,circular,"Termite associated circular virus 2 isolate I1514, complete genome",ssDNA,2222,Genomoviridae
77,NC_040339.1,Euphorbia heterophylla associated gemycircularvirus,DNA,circular,"Euphorbia heterophylla associated gemycircularvirus isolate Br1, complete genome",ssDNA,2125,Genomoviridae
78,NC_040340.1,Lepus americanus faeces associated genomovirus SHP7,DNA,circular,"Lepus americanus faeces associated genomovirus SHP7, complete genome",ssDNA,2142,Genomoviridae
79,NC_040341.1,Lepus americanus faeces associated microvirus SHP1 6472,DNA,circular,"Lepus americanus faeces associated microvirus SHP1 6472, complete genome",ssDNA(+),6357,Microviridae
80,NC_040342.1,Alces alces faeces associated microvirus MP11 5517,DNA,circular,"Alces alces faeces associated microvirus MP11 5517, complete genome",ssDNA(+),5398,Microviridae
81,NC_040347.1,Bark beetle-associated genomovirus 1,ss-DNA,circular,"Bark beetle-associated genomovirus 1 isolate BbaGV-1_US-AB02_739-2014, complete genome",ssDNA,2123,Genomoviridae
82,NC_040348.1,Lepus americanus faeces associated genomovirus SHP111,DNA,circular,"Lepus americanus faeces associated genomovirus SHP111, complete genome",ssDNA,2134,Genomoviridae
83,NC_040349.1,Alces alces faeces associated microvirus MP21 4718,DNA,circular,"Alces alces faeces associated microvirus MP21 4718, complete genome",ssDNA(+),4662,Microviridae
84,NC_040350.1,Alces alces faeces associated microvirus MP10 5560,DNA,circular,"Alces alces faeces associated microvirus MP10 5560, complete genome",ssDNA(+),5497,Microviridae
85,NC_040351.1,Cattle blood-associated gemycircularvirus,DNA,linear,"Cattle blood-associated gemycircularvirus strain BGmv002, complete genome",ssDNA,2734,Genomoviridae
86,NC_040359.1,Alces alces faeces associated smacovirus MP78,DNA,circular,"Alces alces faeces associated smacovirus MP78, complete genome",ssDNA,3028,Smacoviridae
87,NC_040362.1,Meles meles circovirus-like virus,DNA,circular,"Meles meles circovirus-like virus, complete genome",ssDNA(+/-),2218,Circoviridae
88,NC_040370.1,Bark beetle-associated genomovirus 5,ss-DNA,circular,"Bark beetle-associated genomovirus 5 isolate BbaGV-5_US-AB01_6-2014, complete genome",ssDNA,2205,Genomoviridae
89,NC_040371.1,Lynx canadensis faeces associated genomovirus CL1 148,DNA,circular,"Lynx canadensis faeces associated genomovirus CL1 148, complete genome",ssDNA,2188,Genomoviridae
90,NC_040372.1,Lynx canadensis faeces associated genomovirus CL1 48,DNA,circular,"Lynx canadensis faeces associated genomovirus CL1 48, complete genome",ssDNA,2309,Genomoviridae
91,NC_040373.1,Alces alces faeces associated microvirus MP18 4940,DNA,circular,"Alces alces faeces associated microvirus MP18 4940, complete genome",ssDNA(+),4892,Microviridae
92,NC_040374.1,Alces alces faeces associated microvirus MP15 5067,DNA,circular,"Alces alces faeces associated microvirus MP15 5067, complete genome",ssDNA(+),5004,Microviridae
93,NC_040375.1,Alces alces faeces associated microvirus MP3 6497,DNA,circular,"Alces alces faeces associated microvirus MP3 6497, complete genome",ssDNA(+),6434,Microviridae
94,NC_040379.1,Gemycircularvirus sp.,ss-DNA,circular,"Gemycircularvirus sp. isolate yc-18, complete genome",ssDNA,2277,Genomoviridae
95,NC_040380.1,Molossus molossus circovirus 3,DNA,circular,"Molossus molossus circovirus 3 isolate MmoCV_MF_180744, complete genome",ssDNA(+/-),2055,Circoviridae
96,NC_040381.1,Feline stool-associated circular virus KU14,DNA,circular,"Feline stool-associated circular virus KU14 DNA, complete genome",ssDNA(+/-),2046,Circoviridae
97,NC_040382.1,Molossus molossus circovirus 2,DNA,circular,"Molossus molossus circovirus 2 isolate MmoCV_MF_110233, complete genome",ssDNA(+/-),3156,Circoviridae
98,NC_040429.1,Diatom colony associated dsRNA virus 4 genome type A,RNA,linear,"Diatom colony associated dsRNA virus 4 genome type A genomic RNA, complete genome",dsRNA,4982,Totiviridae']
99,NC_040430.1,Diatom colony associated dsRNA virus 8,RNA,linear,"Diatom colony associated dsRNA virus 8 genomic RNA, complete genome",dsRNA,4660,Totiviridae']
100,NC_040431.1,Diatom colony associated dsRNA virus 13,RNA,linear,"Diatom colony associated dsRNA virus 13 genomic RNA, complete genome",dsRNA,4671,Totiviridae']
101,NC_040467.1,Diatom colony associated dsRNA virus 4 genome type B,RNA,linear,"Diatom colony associated dsRNA virus 4 genome type B genomic RNA, complete genome",dsRNA,4979,Totiviridae']
102,NC_040468.1,Diatom colony associated dsRNA virus 9 genome type A,RNA,linear,"Diatom colony associated dsRNA virus 9 genome type A genomic RNA, complete genome",dsRNA,4844,Totiviridae']
103,NC_040528.1,Apteryx rowi circovirus-like virus,DNA,circular,"Apteryx rowi circovirus-like virus isolate JWNM 090913, complete genome",ssDNA(+/-),2085,Circoviridae
104,NC_040530.1,Eimeria stiedai RNA virus 1,RNA,linear,"Eimeria stiedai RNA virus 1 isolate TQCBD-12/0909, complete genome",dsRNA,6219,Totiviridae']
105,NC_040531.1,Lesser panda anellovirus,DNA,circular,"Lesser panda anellovirus isolate chengdu-1, complete genome",ssDNA(-),2603,Anelloviridae
106,NC_040533.1,Lupine bocavirus,DNA,linear,"Lupine bocavirus isolate South Douro, complete genome",ssDNA(+/-),5228,Parvoviridae
107,NC_040537.1,Rice latent virus 2,ss-DNA,circular,"Rice latent virus 2 isolate AU-NA24-2015, complete genome",ssDNA(+/-),2843,Geminiviridae
108,NC_040538.1,Rhinolophus blasii polyomavirus 2,DNA,circular,"Rhinolophus blasii polyomavirus 2 DNA, complete genome, strain: SUB13#14",dsDNA,5215,Polyomaviridae
109,NC_040546.1,Rodent Torque teno virus 3,DNA,circular,"Rodent Torque teno virus 3 isolate 250, complete genome",ssDNA(-),2538,Anelloviridae
110,NC_040547.1,Rodent Torque teno virus 4,DNA,circular,"Rodent Torque teno virus 4 isolate 319, complete genome",ssDNA(-),2536,Anelloviridae
111,NC_040548.1,Serinus canaria papillomavirus 1,DNA,circular,"Serinus canaria papillomavirus 1 strain York1, complete genome",dsDNA,8071,Papillomaviridae
112,NC_040550.1,Gammapapillomavirus sp.,DNA,linear,"Gammapapillomavirus sp. isolate Gamma_w34c04a, complete genome",dsDNA,7226,Papillomaviridae
113,NC_040551.1,Panax notoginseng virus B,RNA,linear,"Panax notoginseng virus B isolate YNSL1212, complete genome",dsRNA,4993,Totiviridae']
114,NC_040552.1,Cacao swollen shoot Ghana L virus,DNA,circular,"Cacao swollen shoot Ghana L virus isolate GCR329-14, complete genome",dsDNA-RT,6994,Caulimoviridae
115,NC_040553.1,Cattle blood-associated circovirus-like virus,DNA,linear,"Cattle blood-associated circovirus-like virus strain Bvch001, complete genome",ssDNA,2717,Smacoviridae
116,NC_040562.1,Porcine parvovirus 7,DNA,linear,"Porcine parvovirus 7 isolate GX49, complete genome",ssDNA(+/-),3999,Parvoviridae
117,NC_040566.1,Tupaia glis polyomavirus 1,DNA,circular,"Tupaia glis polyomavirus 1 isolate 4373 Thai 87, complete genome",dsDNA,5234,Polyomaviridae
118,NC_040569.1,Macaca mulatta papillomavirus 4,DNA,circular,"Macaca mulatta papillomavirus 4 isolate PM084S3c176982, complete genome",dsDNA,7424,Papillomaviridae
119,NC_040573.1,Myocastor coypus polyomavirus 1,DNA,circular,"Myocastor coypus polyomavirus 1, complete genome",dsDNA,5422,Polyomaviridae
120,NC_040576.1,Culex circovirus-like virus,DNA,linear,"Culex circovirus-like virus strain CCirVL/Butte, complete genome",ssDNA(+/-),2104,Circoviridae
121,NC_040578.1,Canine papillomavirus 21,DNA,circular,"Canine papillomavirus 21 strain Lab_P1, complete genome",dsDNA,8225,Papillomaviridae
122,NC_040579.1,Canine papillomavirus 22,DNA,circular,"Canine papillomavirus 22 strain Mas_P6, complete genome",dsDNA,8300,Papillomaviridae
123,NC_040580.1,Erethizon dorsatum papillomavirus 2,DNA,circular,"Erethizon dorsatum papillomavirus 2 isolate AZ-SWCC-2016, complete genome",dsDNA,8809,Papillomaviridae
124,NC_040583.1,Boa constrictor papillomavirus 1,DNA,circular,"Boa constrictor papillomavirus 1 isolate CH_2018_UZH, complete genome",dsDNA,7126,Papillomaviridae
125,NC_040598.1,Sus scrofa polyomavirus 1,DNA,circular,"Sus scrofa polyomavirus 1 isolate 471, complete genome",dsDNA,5068,Polyomaviridae
126,NC_040600.1,Bat polyomavirus,DNA,circular,"Bat polyomavirus isolate KSA403, complete genome",dsDNA,4696,Polyomaviridae
127,NC_040603.1,Red-crowned crane parvovirus,ss-DNA,linear,"Red-crowned crane parvovirus isolate yc-7, complete genome",ssDNA(+/-),5515,Parvoviridae
128,NC_040604.1,Rodent papillomavirus,DNA,circular,"Rodent papillomavirus isolate RtRn-PV/GD2014, complete genome",dsDNA,7373,Papillomaviridae
129,NC_040607.1,Rhinolophus simulator polyomavirus 1,DNA,circular,"Rhinolophus simulator polyomavirus 1 DNA, complete genome, strain: SUB13#17",dsDNA,5249,Polyomaviridae
130,NC_040608.1,Pythium polare RNA virus 1,RNA,linear,"Pythium polare RNA virus 1 PpRV1-OPU1176 genomic RNA, complete genome",dsRNA,5397,Totiviridae']
131,NC_040618.1,Rodent Torque teno virus 6,DNA,circular,"Rodent Torque teno virus 6 isolate 2404, complete genome",ssDNA(-),2505,Anelloviridae
132,NC_040622.1,Cacao swollen shoot Ghana N virus,DNA,circular,"Cacao swollen shoot Ghana N virus isolate Gha63-15, complete genome",dsDNA-RT,7173,Caulimoviridae
133,NC_040623.1,Rhinolophus pusillus bocaparvovirus 1,DNA,linear,"Rhinolophus pusillus bocaparvovirus 1 strain Rp-BtBoV1_48C_MJ_YN_2012, complete genome",ssDNA(+/-),4880,Parvoviridae
134,NC_040626.1,Bombus cryptarum densovirus,DNA,linear,"Bombus cryptarum densovirus isolate bcry3, complete genome",ssDNA(+/-),3977,Parvoviridae
135,NC_040632.1,Gigaspora margarita giardia-like virus 1,RNA,linear,"Gigaspora margarita giardia-like virus 1 isolate GmGlV1-BEG34, complete genome",dsRNA,4947,Totiviridae
136,NC_040633.1,Sogatella furcifera totivirus 1,RNA,linear,"Sogatella furcifera totivirus 1, complete genome",dsRNA,6310,Totiviridae']
137,NC_040634.1,Potamochoerus porcus polyomavirus 1,DNA,circular,"Potamochoerus porcus polyomavirus 1 isolate 9780 PI225, complete genome",dsDNA,4825,Polyomaviridae
138,NC_040635.1,Birch leaf roll-associated virus,DNA,circular,"Birch leaf roll-associated virus isolate BpubFin407507, complete genome",dsDNA-RT,7864,Caulimoviridae
139,NC_040638.1,Trematomus bernacchii polyomavirus 1,DNA,circular,"Trematomus bernacchii polyomavirus 1 isolate BIS330, complete genome",dsDNA,5541,Polyomaviridae']
140,NC_040640.1,Human papillomavirus type 203,DNA,circular,"Human papillomavirus type 203 isolate SE369, complete genome",dsDNA,7372,Papillomaviridae
141,NC_040653.1,Fusarium asiaticum victorivirus 1,RNA,linear,"Fusarium asiaticum victorivirus 1 isolate F16176, complete genome",dsRNA,5281,Totiviridae
142,NC_040655.1,Macaca mulatta papillomavirus 5,DNA,circular,"Macaca mulatta papillomavirus 5, complete genome",dsDNA,7408,Papillomaviridae
143,NC_040657.1,Diatom colony associated dsRNA virus 5,RNA,linear,"Diatom colony associated dsRNA virus 5 genomic RNA, complete genome",dsRNA,5252,Totiviridae']
144,NC_040658.1,Diatom colony associated dsRNA virus 6,RNA,linear,"Diatom colony associated dsRNA virus 6 genomic RNA, complete genome",dsRNA,4939,Totiviridae']
145,NC_040659.1,Diatom colony associated dsRNA virus 10,RNA,linear,"Diatom colony associated dsRNA virus 10 genomic RNA, complete genome",dsRNA,5082,Totiviridae']
146,NC_040660.1,Diatom colony associated dsRNA virus 11,RNA,linear,"Diatom colony associated dsRNA virus 11 genomic RNA, complete genome",dsRNA,5160,Totiviridae']
147,NC_040668.1,Torque teno equus virus 1,DNA,circular,"Torque teno equus virus 1, complete genome",ssDNA(-),2197,Anelloviridae
148,NC_040670.1,Culex tritaeniorhynchus totivirus,RNA,linear,"Culex tritaeniorhynchus totivirus isolate CTV_NJ3, complete genome",dsRNA,7624,Totiviridae']
149,NC_040671.1,Adeno-associated virus,DNA,linear,"Adeno-associated virus isolate MHH-05-2015, complete genome",ssDNA(+/-),4857,Parvoviridae
150,NC_040676.1,Rhinolophus simulator polyomavirus 2,DNA,circular,"Rhinolophus simulator polyomavirus 2 DNA, complete genome, strain: SUB13#23",dsDNA,5016,Polyomaviridae
151,NC_040677.1,Rhinolophus simulator polyomavirus 3,DNA,circular,"Rhinolophus simulator polyomavirus 3 DNA, complete genome, strain: SUB13#25",dsDNA,5082,Polyomaviridae
152,NC_040678.1,Pythium polare RNA virus 2,RNA,linear,"Pythium polare RNA virus 2 PpRV2-OPU1176 genomic RNA, nearly complete genome",dsRNA,5491,Totiviridae']
153,NC_040679.1,Paguma larvata circovirus,DNA,circular,"Paguma larvata circovirus Pl-CV3 DNA, complete genome",ssDNA(+/-),2077,Circoviridae
154,NC_040687.1,Rodent Torque teno virus 7,DNA,circular,"Rodent Torque teno virus 7 isolate 15, complete genome",ssDNA(-),2379,Anelloviridae
155,NC_040690.1,Salvia hispanica RNA virus 1,RNA,linear,"Salvia hispanica RNA virus 1 isolate Chia-AV1, complete genome",dsRNA,3406,Amalgaviridae
156,NC_040692.1,Cacao swollen shoot CE virus,DNA,circular,"Cacao swollen shoot CE virus isolate GWR198E-13, complete genome",dsDNA-RT,7131,Caulimoviridae
157,NC_040693.1,Cacao swollen shoot Ghana R virus,DNA,circular,"Cacao swollen shoot Ghana R virus isolate Gha53-15, complete genome",dsDNA-RT,6985,Caulimoviridae
158,NC_040694.1,Rhinolophus pusillus bocaparvovirus 2,DNA,linear,"Rhinolophus pusillus bocaparvovirus 2 strain Rp-BtBoV2_83C_MJ_YN_2012, complete genome",ssDNA(+/-),4726,Parvoviridae
159,NC_040695.1,Rousettus leschenaultii bocaparvovirus 1,DNA,linear,"Rousettus leschenaultii bocaparvovirus 1 strain Rol-BtBoV1_56C_ML_YN_2012, complete genome",ssDNA(+/-),5038,Parvoviridae
160,NC_040704.1,Sogatella furcifera totivirus 2,RNA,linear,"Sogatella furcifera totivirus 2, complete genome",dsRNA,6303,Totiviridae']
161,NC_040705.1,Philantomba monticola polyomavirus 1,DNA,circular,"Philantomba monticola polyomavirus 1 isolate 9781 GN365, complete genome",dsDNA,5034,Polyomaviridae
162,NC_040706.1,Passion fruit chlorotic mottle virus,DNA,circular,"Passion fruit chlorotic mottle virus isolate CDS_MS_BR_2014, complete genome",ssDNA(+/-),3743,Geminiviridae
163,NC_040709.1,Macaca mulatta papillomavirus 2,DNA,circular,"Macaca mulatta papillomavirus 2 isolate PM069S3c168082, complete genome",dsDNA,7876,Papillomaviridae
164,NC_040712.1,Dioscorea nummularia-associated virus,DNA,circular,"Dioscorea nummularia-associated virus, complete genome",dsDNA-RT,8139,Caulimoviridae
165,NC_040715.1,Akodon montensis polyomavirus,DNA,circular,"Akodon montensis polyomavirus isolate 1b, complete genome",dsDNA,6052,Polyomaviridae
166,NC_040720.1,Ashy storm petrel gyrovirus,ss-DNA,circular,"Ashy storm petrel gyrovirus isolate a12a1_528, complete genome",ssDNA(-),2394,Anelloviridae
167,NC_040727.1,Macaca mulatta papillomavirus 6,DNA,circular,"Macaca mulatta papillomavirus 6, complete genome",dsDNA,7935,Papillomaviridae
168,NC_040728.1,Macaca mulatta papillomavirus 7,DNA,circular,"Macaca mulatta papillomavirus 7, complete genome",dsDNA,7292,Papillomaviridae
169,NC_040773.1,Diatom colony associated dsRNA virus 3,RNA,linear,"Diatom colony associated dsRNA virus 3 genomic RNA, complete genome",dsRNA,4911,Totiviridae']
