Supplementary Table 5: False Nucleotide Blast Hits for Whole Mouse Transcriptome Against RNA Virus Sequence Database,,,,,,,,,,,,
Transcript Id,Subject ID,% Identity,Length,Mismatches,Gaps Opened,Query Start,Query End,Subject Start,Subject End,E-value,Bitscore,Assembly Software
comp9_seq1,MK775204.1,90.036,281,28,0,505,785,8610,8330,5.03E-100,364,Bridger
comp9_seq1,MK775204.1,93.421,228,15,0,733,960,8610,8383,3.05E-92,339,Bridger
comp9_seq1,MK775204.1,95.146,103,5,0,2,104,8429,8327,1.97E-39,163,Bridger
comp9_seq2,MK775204.1,93.31,284,19,0,49,332,8610,8327,1.10E-116,420,Bridger
comp9_seq2,MK775204.1,92.958,284,20,0,733,1016,8610,8327,5.12E-115,414,Bridger
comp9_seq2,MK775204.1,90.036,281,28,0,505,785,8610,8330,5.23E-100,364,Bridger
comp9_seq2,MK775204.1,92.029,138,11,0,961,1098,8610,8473,7.27E-49,195,Bridger
comp9_seq2,MK775204.1,95.146,103,5,0,2,104,8429,8327,2.05E-39,163,Bridger
comp9_seq3,MK775204.1,93.31,284,19,0,49,332,8610,8327,1.06E-116,420,Bridger
comp9_seq3,MK775204.1,90.036,281,28,0,505,785,8610,8330,5.03E-100,364,Bridger
comp9_seq3,MK775204.1,92.982,228,16,0,733,960,8610,8383,1.42E-90,333,Bridger
comp9_seq3,MK775204.1,95.146,103,5,0,2,104,8429,8327,1.97E-39,163,Bridger
comp9_seq4,MK775204.1,93.31,284,19,0,49,332,8610,8327,5.91E-117,420,Bridger
comp9_seq4,MK775204.1,93.421,228,15,0,277,504,8610,8383,1.70E-92,339,Bridger
comp9_seq4,MK775204.1,95.146,103,5,0,2,104,8429,8327,1.10E-39,163,Bridger
comp9_seq5,MK775204.1,93.95,281,17,0,49,329,8610,8330,1.77E-118,425,Bridger
comp9_seq5,MK775204.1,90.036,281,28,0,277,557,8610,8330,3.92E-100,364,Bridger
comp9_seq5,MK775204.1,93.421,228,15,0,505,732,8610,8383,2.37E-92,339,Bridger
comp9_seq5,MK775204.1,95.146,103,5,0,2,104,8429,8327,1.53E-39,163,Bridger
comp9_seq6,MK775204.1,93.662,284,18,0,277,560,8610,8327,1.36E-118,425,Bridger
comp9_seq6,MK775204.1,93.662,284,18,0,49,332,8610,8327,1.36E-118,425,Bridger
comp9_seq6,MK775204.1,92.754,138,10,0,505,642,8610,8473,9.00E-51,200,Bridger
comp9_seq6,MK775204.1,95.146,103,5,0,2,104,8429,8327,1.18E-39,163,Bridger
comp9_seq7,MK775204.1,93.95,281,17,0,49,329,8610,8330,1.86E-118,425,Bridger
comp9_seq7,MK775204.1,92.958,284,20,0,505,788,8610,8327,4.04E-115,414,Bridger
comp9_seq7,MK775204.1,90.036,281,28,0,277,557,8610,8330,4.12E-100,364,Bridger
comp9_seq7,MK775204.1,92.029,138,11,0,733,870,8610,8473,5.72E-49,195,Bridger
comp9_seq7,MK775204.1,95.146,103,5,0,2,104,8429,8327,1.61E-39,163,Bridger
Locus_172_Transcript_3/223_Confidence_0.022_Length_895,MK775204.1,89.13,46,5,0,841,886,8488,8443,8.07E-08,58.4,Oases
Locus_172_Transcript_5/223_Confidence_0.008_Length_439,MK775204.1,100,28,0,0,412,439,8488,8461,1.79E-06,52.8,Oases
Locus_172_Transcript_6/223_Confidence_0.025_Length_1178,MK775204.1,89.13,46,5,0,1124,1169,8488,8443,1.07E-07,58.4,Oases
Locus_172_Transcript_8/223_Confidence_0.038_Length_840,MK775204.1,92.241,116,7,2,660,775,8529,8416,1.56E-39,163,Oases
Locus_172_Transcript_9/223_Confidence_0.030_Length_459,MK775204.1,91.045,134,7,3,261,394,8544,8416,1.07E-43,176,Oases
Locus_172_Transcript_10/223_Confidence_0.030_Length_394,MK775204.1,91.045,134,7,3,261,394,8544,8416,9.08E-44,176,Oases
Locus_172_Transcript_11/223_Confidence_0.038_Length_948,MK775204.1,89.333,150,8,6,261,410,8544,8403,4.87E-45,182,Oases
Locus_172_Transcript_154/223_Confidence_0.064_Length_523,MK775204.1,92.248,258,20,0,125,382,8587,8330,6.77E-101,366,Oases
Locus_172_Transcript_156/223_Confidence_0.048_Length_327,MK775204.1,93.011,186,13,0,1,186,8515,8330,9.22E-73,272,Oases
Locus_172_Transcript_183/223_Confidence_0.028_Length_643,MK775204.1,91.045,134,7,3,445,578,8544,8416,1.52E-43,176,Oases
Locus_172_Transcript_184/223_Confidence_0.037_Length_574,MK775204.1,91.045,134,7,3,376,509,8544,8416,1.35E-43,176,Oases
Locus_172_Transcript_185/223_Confidence_0.053_Length_506,MK775204.1,92.92,226,16,0,281,506,8610,8385,8.58E-90,329,Oases
Locus_172_Transcript_187/223_Confidence_0.054_Length_704,MK775204.1,89.513,267,20,3,369,635,8610,8352,3.36E-90,331,Oases
Locus_172_Transcript_188/223_Confidence_0.046_Length_658,MK775204.1,89.189,222,16,3,369,590,8610,8397,6.94E-72,270,Oases
Locus_172_Transcript_189/223_Confidence_0.023_Length_404,MK775204.1,91.045,134,7,3,206,339,8544,8416,9.32E-44,176,Oases
Locus_172_Transcript_190/223_Confidence_0.026_Length_489,MK775204.1,91.045,134,7,3,291,424,8544,8416,1.14E-43,176,Oases
Locus_172_Transcript_191/223_Confidence_0.032_Length_711,MK775204.1,92.174,115,7,2,532,646,8528,8416,4.71E-39,161,Oases
Locus_3571_Transcript_10/45_Confidence_0.030_Length_397,MH806434.1,92.571,175,9,1,223,397,5231,5061,1.91E-65,248,Oases
Locus_3571_Transcript_10/45_Confidence_0.030_Length_397,NC_003678.1,86.9,229,16,3,169,397,5259,5045,2.47E-64,244,Oases
Locus_3571_Transcript_11/45_Confidence_0.013_Length_245,NC_003678.1,94.382,89,5,0,50,138,5053,4965,2.57E-32,137,Oases
Locus_3571_Transcript_12/45_Confidence_0.022_Length_308,NC_003678.1,94.03,201,12,0,1,201,5165,4965,8.52E-83,305,Oases
Locus_3571_Transcript_12/45_Confidence_0.022_Length_308,MH806434.1,94.652,187,10,0,1,187,5181,4995,2.39E-78,291,Oases
Locus_3571_Transcript_13/45_Confidence_0.026_Length_284,NC_003678.1,94.186,86,5,0,1,86,5050,4965,1.41E-30,132,Oases
Locus_3571_Transcript_14/45_Confidence_0.017_Length_289,NC_003678.1,94.186,86,5,0,1,86,5050,4965,1.43E-30,132,Oases
Locus_3571_Transcript_17/45_Confidence_0.203_Length_2939,NC_003678.1,92.542,295,22,0,2090,2384,5259,4965,2.31E-117,424,Oases
Locus_3571_Transcript_17/45_Confidence_0.203_Length_2939,NC_003678.1,92.542,295,22,0,831,1125,5259,4965,2.31E-117,424,Oases
Locus_3571_Transcript_17/45_Confidence_0.203_Length_2939,MH806434.1,94.007,267,16,0,2104,2370,5261,4995,8.37E-112,405,Oases
Locus_3571_Transcript_17/45_Confidence_0.203_Length_2939,MH806434.1,94.007,267,16,0,845,1111,5261,4995,8.37E-112,405,Oases
Locus_3571_Transcript_19/45_Confidence_0.143_Length_1548,NC_003678.1,91,300,22,1,483,782,5259,4965,2.04E-110,399,Oases
Locus_3571_Transcript_19/45_Confidence_0.143_Length_1548,MH806434.1,92.279,272,16,1,497,768,5261,4995,7.37E-105,381,Oases
Locus_3571_Transcript_25/45_Confidence_0.286_Length_2592,NC_003678.1,91,300,22,1,483,782,5259,4965,3.43E-110,399,Oases
Locus_3571_Transcript_25/45_Confidence_0.286_Length_2592,MH806434.1,92.279,272,16,1,497,768,5261,4995,1.24E-104,381,Oases
Locus_3571_Transcript_27/45_Confidence_0.325_Length_2689,NC_003678.1,91,300,22,1,483,782,5259,4965,3.56E-110,399,Oases
Locus_3571_Transcript_27/45_Confidence_0.325_Length_2689,MH806434.1,92.279,272,16,1,497,768,5261,4995,1.29E-104,381,Oases
Locus_3571_Transcript_29/45_Confidence_0.455_Length_4527,NC_003678.1,92.542,295,22,0,2437,2731,5259,4965,3.57E-117,424,Oases
Locus_3571_Transcript_29/45_Confidence_0.455_Length_4527,NC_003678.1,92.542,295,22,0,961,1255,5259,4965,3.57E-117,424,Oases
Locus_3571_Transcript_29/45_Confidence_0.455_Length_4527,MH806434.1,94.007,267,16,0,2451,2717,5261,4995,1.29E-111,405,Oases
Locus_3571_Transcript_29/45_Confidence_0.455_Length_4527,MH806434.1,94.007,267,16,0,975,1241,5261,4995,1.29E-111,405,Oases
Locus_3571_Transcript_30/45_Confidence_0.377_Length_4185,NC_003678.1,92.542,295,22,0,961,1255,5259,4965,3.30E-117,424,Oases
Locus_3571_Transcript_30/45_Confidence_0.377_Length_4185,MH806434.1,94.007,267,16,0,975,1241,5261,4995,1.19E-111,405,Oases
Locus_14816_Transcript_2/2_Confidence_0.958_Length_533,MK775204.1,92.617,149,11,0,90,238,8508,8360,2.65E-55,215,Oases
Locus_23885_Transcript_1/1_Confidence_0.985_Length_370,MK775204.1,94.69,226,12,0,97,322,8383,8608,1.31E-96,351,Oases
Locus_23885_Transcript_1/1_Confidence_0.985_Length_370,MK775204.1,92.308,104,5,3,269,370,8327,8429,2.39E-34,145,Oases
Locus_24115_Transcript_1/1_Confidence_0.929_Length_175,MK775204.1,94.118,51,3,0,125,175,8417,8467,1.08E-14,78.7,Oases
Locus_24869_Transcript_1/1_Confidence_1.000_Length_657,MK775204.1,92.527,281,19,2,310,588,8610,8330,2.35E-111,401,Oases
Locus_24946_Transcript_1/1_Confidence_1.000_Length_222,MK775204.1,93.878,147,9,0,1,147,8476,8330,6.18E-58,222,Oases
Locus_24947_Transcript_1/1_Confidence_1.000_Length_500,MK775204.1,92.444,225,17,0,276,500,8609,8385,1.42E-87,322,Oases
Locus_24947_Transcript_1/1_Confidence_1.000_Length_500,MK775204.1,93.714,175,10,1,1,174,8501,8327,3.13E-69,261,Oases
Locus_24948_Transcript_1/1_Confidence_1.000_Length_492,MK775204.1,91.518,224,19,0,125,348,8587,8364,1.09E-83,309,Oases
Locus_24949_Transcript_1/1_Confidence_1.000_Length_340,MK775204.1,89.286,140,8,3,201,340,8545,8413,1.30E-41,169,Oases
Locus_24950_Transcript_1/1_Confidence_1.000_Length_548,MK775204.1,94.737,133,7,0,280,412,8515,8383,4.56E-53,207,Oases
Locus_24950_Transcript_1/1_Confidence_1.000_Length_548,MK775204.1,81.169,154,10,5,125,278,8587,8453,1.71E-22,106,Oases
Locus_24951_Transcript_1/1_Confidence_1.000_Length_465,MK775204.1,93.171,205,14,0,125,329,8587,8383,1.71E-81,302,Oases
Locus_24952_Transcript_1/1_Confidence_1.000_Length_556,MK775204.1,94.382,178,9,1,327,504,8602,8426,1.62E-72,272,Oases
Locus_24952_Transcript_1/1_Confidence_1.000_Length_556,MK775204.1,97.5,40,1,0,336,375,8366,8327,2.28E-11,69.4,Oases
Locus_24953_Transcript_1/1_Confidence_1.000_Length_578,MK775204.1,88.095,252,11,3,327,578,8602,8370,2.80E-75,281,Oases
Locus_24953_Transcript_1/1_Confidence_1.000_Length_578,MK775204.1,97.5,40,1,0,336,375,8366,8327,2.37E-11,69.4,Oases
Locus_24954_Transcript_1/1_Confidence_1.000_Length_497,MK775204.1,89.744,195,13,3,248,440,8516,8327,1.13E-63,243,Oases
Locus_24955_Transcript_1/1_Confidence_1.000_Length_323,MK775204.1,85.433,254,15,4,1,254,8561,8330,1.98E-64,244,Oases
Locus_24956_Transcript_1/1_Confidence_1.000_Length_223,MK775204.1,94.958,119,6,0,7,125,8546,8428,2.27E-47,187,Oases
Locus_24956_Transcript_1/1_Confidence_1.000_Length_223,MK775204.1,95.918,98,4,0,126,223,8467,8370,4.94E-39,159,Oases
Locus_24957_Transcript_1/1_Confidence_1.000_Length_618,MK775204.1,89.744,195,13,3,369,561,8516,8327,1.42E-63,243,Oases
Locus_24957_Transcript_1/1_Confidence_1.000_Length_618,MK775204.1,95.035,141,6,1,1,140,8467,8327,6.64E-57,220,Oases
Locus_24958_Transcript_1/1_Confidence_1.000_Length_504,MK775204.1,91.556,225,11,2,243,465,8603,8385,5.18E-82,303,Oases
Locus_24958_Transcript_1/1_Confidence_1.000_Length_504,MK775204.1,93.714,175,10,1,1,174,8501,8327,3.16E-69,261,Oases
Locus_24959_Transcript_1/1_Confidence_1.000_Length_412,MK775204.1,94.248,226,12,1,149,373,8610,8385,2.47E-94,344,Oases
Locus_24959_Transcript_1/1_Confidence_1.000_Length_412,MK775204.1,94.118,119,7,0,1,119,8501,8383,2.05E-45,182,Oases
Locus_24960_Transcript_1/1_Confidence_1.000_Length_383,MK775204.1,94.248,226,12,1,120,344,8610,8385,2.28E-94,344,Oases
Locus_24960_Transcript_1/1_Confidence_1.000_Length_383,MK775204.1,93.714,175,10,1,1,174,8501,8327,2.36E-69,261,Oases
Locus_24961_Transcript_1/1_Confidence_1.000_Length_350,MK775204.1,94.04,151,9,0,131,281,8480,8330,6.05E-60,230,Oases
Locus_24961_Transcript_1/1_Confidence_1.000_Length_350,MK775204.1,93.966,116,7,0,1,116,8515,8400,8.00E-44,176,Oases
Locus_24962_Transcript_1/1_Confidence_1.000_Length_365,MK775204.1,88.396,293,22,3,4,296,8610,8330,7.80E-94,342,Oases
Locus_24964_Transcript_1/1_Confidence_1.000_Length_453,MK775204.1,90.732,205,19,0,125,329,8587,8383,3.63E-73,274,Oases
Locus_24965_Transcript_1/1_Confidence_1.000_Length_213,MK775204.1,100,34,0,0,44,77,8416,8383,3.79E-10,63.9,Oases
Locus_24966_Transcript_1/1_Confidence_1.000_Length_344,MK775204.1,89.655,203,16,1,142,344,8610,8413,3.53E-67,254,Oases
Locus_24966_Transcript_1/1_Confidence_1.000_Length_344,MK775204.1,79.646,113,11,10,1,107,8493,8387,3.81E-12,71.3,Oases
Locus_26416_Transcript_1/1_Confidence_1.000_Length_218,MK775204.1,90.323,93,9,0,126,218,8388,8480,6.32E-28,122,Oases
Shannon_shannon_cremaining1_38586_37,MK775204.1,90.099,202,20,0,1,202,8584,8383,6.06E-70,263,Shannon
Shannon_shannon_cremaining1_37686_28,MK775204.1,90.813,283,26,0,523,805,8609,8327,1.49E-104,379,Shannon
Shannon_shannon_cremaining1_40086_52,MK775204.1,93.213,221,15,0,4,224,8603,8383,8.03E-89,326,Shannon
Shannon_shannon_cremaining1_36086_12,MK775204.1,91.342,231,20,0,8,238,8610,8380,2.98E-86,316,Shannon
Shannon_shannon_cremaining1_37886_30,MK775204.1,92.07,227,18,0,523,749,8609,8383,1.28E-86,320,Shannon
Shannon_shannon_cremaining1_40386_55,MK775204.1,92.958,142,10,0,1,142,8524,8383,2.51E-53,207,Shannon
Shannon_shannon_cremaining1_39986_51,MK775204.1,93.304,224,15,0,4,227,8603,8380,1.01E-90,331,Shannon
Shannon_shannon_cremaining8_23693_0,NC_003678.1,92.542,295,22,0,1051,1345,5259,4965,2.47E-117,424,Shannon
Shannon_shannon_cremaining8_23693_0,MH806434.1,94.007,267,16,0,1065,1331,5261,4995,8.94E-112,405,Shannon
Shannon_shannon_cremaining1_38386_35,MK775204.1,91.633,251,21,0,1,251,8584,8334,1.12E-95,348,Shannon
NODE_1569_length_5347_cov_28.108655,NC_003678.1,92.542,295,22,0,1823,2117,4965,5259,4.22E-117,424,Spades
NODE_1569_length_5347_cov_28.108655,MH806434.1,94.007,267,16,0,1837,2103,4995,5261,1.53E-111,405,Spades
NODE_13053_length_1005_cov_800.774737,MK775204.1,89.13,46,5,0,12,57,8443,8488,9.09E-08,58.4,Spades
NODE_16295_length_706_cov_354.818740,MK775204.1,96.364,55,2,0,1,55,8437,8383,6.23E-18,91.6,Spades
NODE_17056_length_659_cov_1354.597682,MK775204.1,94.298,228,13,0,43,270,8610,8383,8.68E-96,350,Spades
NODE_17056_length_659_cov_1354.597682,MK775204.1,93.878,98,6,0,1,98,8424,8327,3.40E-35,148,Spades
NODE_33775_length_256_cov_1276.661692,MK775204.1,96.629,89,3,0,1,89,8522,8610,1.25E-35,148,Spades
NODE_33775_length_256_cov_1276.661692,MK775204.1,96.61,59,1,1,34,92,8327,8384,4.58E-20,97.1,Spades
NODE_43240_length_104_cov_1574.102041,MK775204.1,95.192,104,5,0,1,104,8377,8480,4.36E-41,165,Spades
NODE_43264_length_103_cov_1280.895833,MK775204.1,96.117,103,4,0,1,103,8354,8456,3.33E-42,169,Spades
NODE_43385_length_94_cov_1112.769231,MK775204.1,96.341,82,3,0,13,94,8327,8408,3.00E-32,135,Spades
NODE_43586_length_82_cov_2264.407407,MK775204.1,97.561,82,2,0,1,82,8383,8464,5.37E-34,141,Spades
NODE_43660_length_78_cov_80.608696,MK775204.1,96.053,76,3,0,1,76,8354,8429,5.05E-29,124,Spades
NODE_43754_length_73_cov_3089.722222,MK775204.1,97.183,71,2,0,3,73,8480,8410,5.95E-28,121,Spades
NODE_43872_length_68_cov_853.923077,MK775204.1,94.03,67,4,0,2,68,8371,8437,1.99E-22,102,Spades
NODE_44015_length_63_cov_984.000000,MK775204.1,95.238,63,3,0,1,63,8402,8464,6.38E-22,100,Spades
NODE_44112_length_62_cov_1091.714286,MK775204.1,93.22,59,4,0,2,60,8371,8429,4.85E-18,87.9,Spades
NODE_44292_length_58_cov_802.666667,MK775204.1,97.727,44,1,0,12,55,8383,8426,9.47E-15,76.8,Spades
TRINITY_DN321_c0_g1_i4,MK775204.1,92.544,228,17,0,316,543,8383,8610,4.10E-89,327,Trinity
TRINITY_DN321_c0_g1_i4,MK775204.1,92.697,178,13,0,488,665,8327,8504,5.45E-68,257,Trinity
TRINITY_DN321_c0_g1_i7,MK775204.1,92.308,182,14,0,1,182,8428,8609,9.17E-69,259,Trinity
TRINITY_DN321_c0_g1_i2,MK775204.1,93.86,228,14,0,96,323,8383,8610,2.90E-94,344,Trinity
TRINITY_DN321_c0_g1_i2,MK775204.1,96.61,59,1,1,268,326,8327,8384,8.96E-20,97.1,Trinity
TRINITY_DN321_c0_g1_i3,MK775204.1,95.628,183,8,0,1,183,8428,8610,1.82E-79,294,Trinity
TRINITY_DN321_c0_g1_i3,MK775204.1,95.506,178,8,0,128,305,8327,8504,1.10E-76,285,Trinity
TRINITY_DN321_c0_g1_i9,MK775204.1,92.697,178,13,0,474,651,8327,8504,5.34E-68,257,Trinity
TRINITY_DN3313_c0_g1_i2,NC_003678.1,92.542,295,22,0,1792,2086,4965,5259,2.54E-117,424,Trinity
TRINITY_DN3313_c0_g1_i2,MH806434.1,94.007,267,16,0,1806,2072,4995,5261,9.21E-112,405,Trinity
TRINITY_DN1787_c0_g2_i1,MK775204.1,89.13,46,5,0,266,311,8443,8488,6.69E-08,58.4,Trinity
